250;0.000000;0.000000;-107374176.000000;-107374176.000000;-107374176.000000;-1.#IND00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00
500;0.000000;0.000000;-107374176.000000;-107374176.000000;-107374176.000000;-1.#IND00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00
2234;-38.164558;0.000000;-0.033010;-0.012318;1.475000;-16.477203;139.566116;158.788712;139.651672;142.102692;138.664734;201.942184;139.074127;178.829590;140.945618;151.579651;124.031494;208.794983;143.911224;150.445709;135.778580;150.445709;144.116486;190.385895;134.593445;190.385895;181.000000;158.992050;181.000000;189.178146;182.026306;165.269592;180.538879;172.776138;132.506012;158.474686;124.724930;140.174301;129.136414;200.229446;124.838669;177.834030;163.381210;172.645844
2281;-39.032616;0.000000;-0.030693;-0.007891;1.475000;-16.434278;139.600708;158.222504;139.686279;141.721909;138.699326;201.616562;139.108719;178.258911;140.980209;151.117355;124.066093;208.490677;143.945816;149.972198;135.813171;149.972198;144.162018;189.937744;134.637268;189.937744;181.000000;158.753159;181.000000;188.959061;182.019745;165.247223;180.561859;172.426102;132.422821;157.906769;124.587158;139.778152;129.125656;199.819275;124.850807;177.235458;163.414841;172.227448
2328;-39.557713;0.000000;-0.028474;-0.000330;1.475000;-16.414413;139.569473;157.571136;139.667374;141.297607;138.679474;201.085159;139.088882;177.602173;140.965302;150.645920;124.085594;207.975739;143.925217;149.434372;135.793335;149.434372;144.142181;189.343658;134.617432;189.343658;181.000000;158.360291;181.000000;188.770462;181.884033;164.778107;180.541534;172.022232;132.393311;157.217041;124.611580;139.217285;129.180618;199.215073;124.839195;176.509079;163.396164;171.777557
2375;-40.093540;0.000000;-0.026632;0.008180;1.475000;-16.414516;139.584686;156.948822;139.656158;140.826324;138.687134;200.628586;139.077667;177.000748;140.954086;150.125290;124.074379;207.454727;143.914001;148.887573;135.782120;148.887573;144.157104;188.814667;134.606216;188.814667;181.000000;157.861176;181.000000;188.343658;181.723526;164.224396;180.590012;171.452972;132.422180;156.562469;124.629158;138.632034;129.226700;198.667206;124.884331;175.851563;163.355103;171.130981
2421;-41.431892;0.000000;-0.025451;0.012677;1.500000;-16.231054;139.529083;156.346375;139.600555;140.417343;138.780655;200.304520;139.159576;176.411636;140.984879;149.673050;124.018776;207.984039;143.858398;148.381866;135.816040;148.381866;144.101501;188.358078;134.550613;188.358078;181.000000;157.601898;181.000000;188.128403;181.617096;163.858353;180.639877;171.128815;132.441864;155.939728;124.624161;138.101456;129.268753;198.160736;124.884476;175.184387;163.429794;170.685196
2468;-41.340786;0.000000;-0.024303;0.020814;1.475000;-16.474043;139.520538;156.328400;139.589081;140.395126;138.790787;200.286545;139.146652;176.393661;140.976013;149.656052;124.028900;206.994598;143.847488;148.361755;135.803635;148.361755;144.111618;188.340103;134.560730;188.340103;181.000000;157.571136;181.000000;188.133347;181.816376;164.528458;180.651993;171.133255;132.435486;155.939560;124.610062;138.102661;129.271454;198.183243;124.903503;175.195313;163.412613;170.737671
2515;-41.400894;0.000000;-0.015281;0.029492;1.475000;-14.669677;139.545593;155.759079;139.542496;139.905380;138.825745;199.891434;139.190582;175.803619;140.010727;149.116623;124.982315;206.555710;143.886963;147.832230;135.870438;147.832230;144.065033;187.847534;134.514145;187.847534;181.000000;157.180252;181.000000;187.897217;181.484421;163.354584;180.606842;170.761993;132.489563;155.371582;124.690247;137.615097;129.321075;197.698822;124.992065;174.624878;163.387161;170.255585
2562;-40.826145;0.000000;-0.021416;-0.027027;1.475000;-19.721333;139.615112;155.356369;139.634537;139.675064;138.906952;199.434067;139.221985;175.360931;141.084808;148.840042;120.927948;205.100891;143.953186;147.515717;135.924957;147.515717;144.093643;187.397491;134.550354;187.397491;181.000000;156.803024;181.000000;187.553406;181.796921;164.487091;180.657745;170.317596;132.551880;154.957825;124.712662;137.277374;129.387512;197.128601;124.971207;174.130127;163.455566;169.813324
2609;-42.065422;0.000000;-0.021164;0.021204;1.500000;-15.514826;139.480988;154.970078;139.545410;139.318024;138.766983;199.166504;139.130081;175.000504;140.972992;148.449265;124.792953;206.765091;143.845200;147.144043;135.828506;147.144043;143.986191;187.083496;134.433517;187.083496;180.000000;156.605286;180.000000;187.345490;180.202637;159.131561;180.528671;170.133713;132.423401;154.569504;124.657188;136.917984;129.266724;196.977188;124.911209;173.789597;163.325836;169.562027
2656;-42.454739;0.000000;-0.021615;0.031500;1.500000;-15.546750;139.496918;154.589890;139.524277;138.971268;138.775406;198.729492;139.121262;174.602829;140.959595;148.079651;124.808891;206.164169;143.830353;146.780579;135.806366;146.780579;144.002121;186.666168;134.419403;186.666168;181.000000;156.192307;181.000000;186.979645;181.632248;163.477051;180.641129;169.725555;132.412292;154.174484;124.604286;136.542816;129.252426;196.458328;124.829056;173.363708;163.403397;169.107895
