# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

b 3 0 1056 0 1046 700
b 3 0 1056 0 1091 751
p 2 0 995 61 6674 1380
b 3 0 1056 0 1279 761
b 3 0 1056 0 1195 807
p 2 0 1010 46 7827 1485
b 3 0 1056 0 1286 769
b 3 0 1056 0 1321 786
p 2 1 967 88 8201 1437
b 3 0 1056 0 1155 705
b 3 0 1056 0 1236 847
p 2 0 988 68 8532 1466
b 3 0 1056 0 1099 702
b 3 0 1056 0 1225 799
p 2 0 985 71 7920 1424
b 3 0 1056 0 948 724
b 3 0 1056 0 1164 854
p 2 0 1014 42 6782 1430
b 3 0 1056 0 1160 737
b 3 0 1056 0 1289 705
p 2 0 981 75 5666 1333
b 3 0 1056 0 1072 686
b 3 0 1056 0 1070 764
p 2 0 944 112 6062 1317
b 3 0 1056 0 702 575
b 3 0 1056 0 821 644
p 2 0 937 119 5530 1298
b 3 0 1056 0 1175 840
b 3 0 1056 0 1482 893
p 2 0 971 85 5927 1383
b 3 0 1056 0 1195 829
b 3 0 1056 0 1146 852
p 2 0 952 104 6086 1361
b 3 0 1056 0 1058 811
b 3 0 1056 0 1130 845
p 2 9 978 69 6739 1492
b 3 0 1056 0 1831 1100
b 3 0 1056 0 2412 1160
p 2 52 914 90 8601 1753
b 3 0 1056 0 2807 1311
b 3 0 1056 0 2358 1260
p 2 85 900 71 10278 1930
b 3 0 1056 0 2048 1184
b 3 0 1056 0 1853 962
p 2 27 1010 19 10453 1795
b 3 0 1056 0 2359 1172
b 3 0 1056 0 2175 1053
p 2 21 1030 5 12028 1758
b 3 0 1056 0 2691 1449
b 3 0 1056 0 2794 1411
p 2 12 1044 0 13618 1822
b 3 0 1056 0 2014 1219
b 3 0 1056 0 1985 1237
p 2 15 1041 0 16011 1890
b 3 0 1056 0 1570 1025
b 3 0 1056 0 1522 997
p 2 0 1056 0 13266 1763
b 3 0 1056 0 2226 1093
b 3 0 1056 0 2147 1160
p 2 0 1053 3 12190 1571
b 3 0 1056 0 2784 1184
b 3 0 1056 0 2853 1196
p 2 7 1049 0 14117 1666
b 3 0 1056 0 3124 1150
p 2 47 1000 9 12432 1760
b 3 0 1056 0 3710 1232
p 2 49 992 15 13133 1764
b 3 0 1056 0 3302 1181
b 3 0 1056 0 2646 1212
p 2 2 993 61 13858 1485
b 3 0 1056 0 1939 916
b 3 0 1056 0 2407 1153
p 2 0 1001 55 9896 1405
b 3 0 1056 0 2153 1027
b 3 0 1056 0 2495 1235
p 2 0 984 72 9170 1428
b 3 0 1056 0 1785 844
b 3 0 1056 0 2218 1140
p 2 0 973 83 10012 1406
b 3 0 1056 0 1629 873
b 3 0 1056 0 2074 1000
p 2 0 962 94 9826 1385
b 3 0 1056 0 1876 725
b 3 0 1056 0 2737 1053
p 2 10 945 101 12003 1489
b 3 0 1056 0 3801 1158
b 3 0 1056 0 3892 1245
p 2 48 942 66 10788 1624
b 3 0 1056 0 2194 1017
b 3 0 1056 0 2234 1191
p 2 26 1003 27 11262 1574
b 3 0 1056 0 2258 1148
b 3 0 1056 0 2481 1273
p 2 0 1046 10 10488 1489
b 3 0 1056 0 1682 975
b 3 0 1056 0 1697 967
p 2 0 1047 9 9012 1434
b 3 0 1056 0 1673 990
b 3 0 1056 0 1950 1100
p 2 0 1018 38 10034 1438
b 3 0 1056 0 1462 827
b 3 0 1056 0 1903 1038
p 2 0 992 64 9900 1402
b 3 0 1056 0 1273 818
b 3 0 1056 0 1694 984
p 2 0 991 65 7957 1304
b 3 0 1056 0 1315 678
b 3 0 1056 0 1532 885
p 2 0 896 160 7675 1314
b 3 0 1056 0 1175 726
b 3 0 1056 0 1581 987
p 2 0 965 91 7869 1325
b 3 0 1056 0 1797 911
b 3 0 1056 0 2525 1261
p 2 0 976 80 8863 1382
b 3 0 1056 0 3495 1320
b 3 0 1056 0 3938 1443
p 2 9 954 93 11515 1556
b 3 0 1056 0 3809 1278
p 2 47 951 58 13653 1751
b 3 0 1056 0 3944 1327
p 2 47 952 57 14951 1746
b 3 0 1056 0 4677 1664
b 3 0 1056 0 3964 1463
p 2 6 1015 35 15330 1677
b 3 0 1056 0 4861 1897
b 3 0 1056 0 4660 1731
p 2 6 1017 33 15342 1777
b 3 0 1056 0 3784 1754
b 3 0 1056 0 3653 1478
p 2 6 1023 27 16554 1777
b 3 0 1056 0 3740 1625
b 3 0 1056 0 3261 1437
p 2 1 1028 27 13578 1624
b 3 0 1056 0 2989 1492
b 3 0 1056 0 2706 1327
p 2 1 1026 29 13165 1613
b 3 0 1056 0 4456 1598
b 3 0 1056 0 3898 1569
p 2 27 1020 9 12547 1777
b 3 0 1056 0 3967 1572
b 3 0 1056 0 3767 1494
p 2 35 1008 13 12794 1790
b 3 0 1056 0 3594 1652
b 3 0 1056 0 3347 1440
p 2 16 1022 18 11401 1712
b 3 0 1056 0 3769 1554
b 3 0 1056 0 3651 1460
p 2 23 1004 29 10532 1647
b 3 0 1056 0 4351 1655
b 3 0 1056 0 3773 1621
p 2 28 1009 19 11273 1772
b 3 0 1056 0 2938 1447
b 3 0 1056 0 2526 1283
p 2 2 1005 49 12066 1643
b 3 0 1056 0 2689 1375
b 3 0 1056 0 2415 1303
p 2 4 1019 33 10284 1556
b 3 0 1056 0 3001 1445
b 3 0 1056 0 2717 1303
p 2 23 964 69 10979 1709
b 3 0 1056 0 2935 1512
b 3 0 1056 0 2472 1237
p 2 1 1015 40 11298 1618
b 3 0 1056 0 3171 1649
b 3 0 1056 0 2436 1114
p 2 2 1051 3 13796 1689
b 3 0 1056 0 3093 1579
b 3 0 1056 0 2761 1238
p 2 0 1055 1 16021 1646
b 3 0 1056 0 3067 1406
b 3 0 1056 0 2744 1215
p 2 0 1056 0 13044 1598
b 3 0 1056 0 2687 1286
b 3 0 1056 0 2230 1110
p 2 0 1056 0 13014 1579
b 3 0 1056 0 2115 1177
b 3 0 1056 0 1824 954
p 2 0 1053 3 12077 1532
b 3 0 1056 0 2223 996
b 3 0 1056 0 2122 986
p 2 0 1012 44 10435 1418
b 3 0 1056 0 2005 1020
b 3 0 1056 0 1779 842
p 2 0 1033 23 9339 1401
b 3 0 1056 0 2132 1043
b 3 0 1056 0 2029 965
